구분,2025-09-08(월),2025-09-09(화),2025-09-10(수),2025-09-11(목),2025-09-12(금)
아침,"새우무국,스테이크,애호박나물,우거지찌개,달걀fry,단호박죽","팥밥,미역국,너비아니구이,숙주나물,굴비구이,버섯야채죽","동태두부국,훈제오리볶음,일미무침,겉절이,달걀fry.요플레","호박새우젓국,적어구이,열무나물,돈육불고기,전복죽","흑미밥,북어해장국,계란장,꾸스꾸스샐러드,버섯불고기,부추사라다빵"
점심,"떡국,쇠고기당면불고기,야채생채,온두부&김치볶음,밀감,깍두기","기장밥,들깨시락국,자장불고기,오이깍두기,서대전유어,브로콜리꽃맛살샐러드,김치","차조밥,유부장국,돈가스&샐러드,카레,솎음배추나물,검정콩자반,열무생김치","클로렐라밥,고추장찌개,돈갈비떡찜,치커리오이생채,부추전,코다리조림,김치","현미밥,연포탕,돈육불고기,간장깻잎지,가자미구이,토마토프리타타.사과"
저녁,"육개장,갈치양념구이,청경채겉절이,바싹불고기,찐고구마","녹두백숙,가오리초무침,팽이버섯전,스틱야채,요구르트","콩나물밥&양념장,도토리묵국,무생채,닭꼬지양념구이,연근아몬드조림,","귀리밥,어묵전골,비빔국수,닭튀김,가지나물,쥬스",경제활성의 날
