교육주차,기수,교육과정,교육기간,교육시작일,교육종료일,인원
4월 3주차 (4.14.~4.18.),1,디자인 플랫폼 활용 과정,1일,2025-04-18,2025-04-18,30
4월 4주차 (4.21.~4.25.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
4월 4주차 (4.21.~4.25.),1,미래설계 과정,2주,2025-04-21,2025-05-02,50
4월 4주차 (4.21.~4.25.),3,신규공무원 역량향상 심화 과정,3일,2025-04-23,2025-04-25,40
4월 4주차 (4.21.~4.25.),1,저수지·댐 안전관리 과정,3일,2025-04-23,2025-04-25,30
4월 4주차 (4.21.~4.25.),1,지역특화 관광 콘텐츠개발 과정,3일,2025-04-23,2025-04-25,20
4월 4주차 (4.21.~4.25.),1,1인 방송과 영상제작 과정,3일,2025-04-23,2025-04-25,30
4월 4주차 (4.21.~4.25.),2,[교류]문화유산 이해 과정,3일,2025-04-23,2025-04-25,30
4월 4주차 (4.21.~4.25.),3,시·군 팀장 리더십 과정,3일,2025-04-23,2025-04-25,20
5월 1주차 (4.28.~5.2.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
5월 1주차 (4.28.~5.2.),1,미래설계 과정,2주,2025-04-21,2025-05-02,50
5월 1주차 (4.28.~5.2.),2,7·8급 승진자 역량향상 과정,4일,2025-04-29,2025-05-02,30
5월 1주차 (4.28.~5.2.),1,명품 스피치 과정,3일,2025-04-30,2025-05-02,20
5월 1주차 (4.28.~5.2.),2,5급 관리자 리더십 과정,3일,2025-04-03,2025-05-02,20
5월 1주차 (4.28.~5.2.),2,엑셀 활용 과정,1일,2025-05-02,2025-05-02,30
5월 2주차 (5.5.~5.9.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
5월 2주차 (5.5.~5.9.),1,지리산 천왕봉 힐링 과정,3일,2025-05-07,2025-05-09,40
5월 2주차 (5.5.~5.9.),1,재난안전 관리자 과정,1일,2025-05-08,2025-05-08,30
5월 2주차 (5.5.~5.9.),1,코칭 리더십 과정,2일,2025-05-08,2025-05-09,15
5월 2주차 (5.5.~5.9.),3,"세대와 마음을 잇는 소통 ON, 공감 UP",2일,2025-05-08,2025-05-09,20
5월 2주차 (5.5.~5.9.),1,공직자 이해충돌 방지 과정,1일,2025-05-09,2025-05-09,30
5월 3주차 (5.12.~5.16.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
5월 3주차 (5.12.~5.16.),2,재난관리 실무 과정,3일,2025-05-14,2025-05-14,40
5월 3주차 (5.12.~5.16.),4,신규공무원 역량향상 심화 과정,3일,2025-05-14,2025-05-16,40
5월 3주차 (5.12.~5.16.),2,업무용 오피스 활용 과정,3일,2025-05-14,2025-05-16,30
5월 3주차 (5.12.~5.16.),1,[교류]동서통합 문화관광 탐방 과정,3일,2025-05-14,2025-05-16,30
5월 3주차 (5.12.~5.16.),1,도민과 함께하는 지속가능발전 목표(SDGs) 이해 과정,4h,2025-05-15,2025-05-15,30
5월 4주차 (5.19.~5.23.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
5월 4주차 (5.19.~5.23.),2,미래설계 과정,2주,2025-05-19,2025-05-30,50
5월 4주차 (5.19.~5.23.),1,지속가능발전 목표 이해 과정,3일,2025-05-21,2025-05-23,20
5월 4주차 (5.19.~5.23.),1,드론 이해와 실전 활용 과정,3일,2025-05-21,2025-05-23,20
5월 4주차 (5.19.~5.23.),1,홍보실무 과정,2일,2025-05-22,2025-05-23,30
5월 4주차 (5.19.~5.23.),4,보조금 단체 회계실무 과정,1일,2025-05-22,2025-05-22,30
5월 4주차 (5.19.~5.23.),5,보조금 단체 회계실무 과정,1일,2025-05-23,2025-05-23,30
5월 4주차 (5.19.~5.23.),1,인구소멸 대응과 지역균형 발전 과정,1일,2025-05-23,2025-05-23,20
5월 5주차 (5.26.~5.30.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
5월 5주차 (5.26.~5.30.),2,미래설계 과정,2주,2025-05-19,2025-05-30,50
5월 5주차 (5.26.~5.30.),2,과장급 필수 역량향상 과정,4일,2025-05-27,2025-05-30,20
5월 5주차 (5.26.~5.30.),3,7·8급 승진자 역량향상 과정,4일,2025-05-27,2025-05-30,30
5월 5주차 (5.26.~5.30.),2,경남의 섬 과정,4일,2025-05-27,2025-05-30,30
5월 5주차 (5.26.~5.30.),1,강사 양성 과정,3일,2025-05-28,2025-05-30,20
5월 5주차 (5.26.~5.30.),2,한글 활용 과정,1일,2025-05-30,2025-05-30,30
5월 5주차 (5.26.~5.30.),1,기후위기 적응·대응 과정,2일,2025-05-29,2025-05-30,20
6월 1주차 (6.2.~6.6.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
6월 1주차 (6.2.~6.6.),1,건강한 직장생활을 위한 마음치유 과정,3일,2025-06-03,2025-06-05,30
6월 1주차 (6.2.~6.6.),1,MICE 사업 유치 역량 강화 과정,3일,2025-06-03,2025-06-05,20
6월 1주차 (6.2.~6.6.),3,업무용 오피스 활용 과정,3일,2025-06-03,2025-06-05,30
6월 1주차 (6.2.~6.6.),1,스마트 경남,2일,2025-06-04,2025-06-05,20
6월 1주차 (6.2.~6.6.),1,중대재해 예방 실무 과정,1일,2025-06-05,2025-06-05,100
6월 2주차 (6.9.~6.13.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
