교과목(강의),교육과정,기수,교육시작일,교육종료일,강의만족도,순위
생성형 AI의 개요,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.9167,57
2024년 HRD 트렌드 공유 및 토론,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.9125,76
2024년 교육훈련 및 교육운영 업무 안내,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.875,125
교육운영 실무 사례 공유,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.86,147
생성형 AI를 이용한 데이터 정리,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.7778,275
소통을 위한 대화기술 공감기법,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.6389,625
통합교육관리시스템 사용 안내,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.6,792
2025년 HRD 트렌드 공유,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.5556,830
교육훈련 업무프로세스 공유 및 토론,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.375,1039
차세대 인사랑 교육훈련 기능안내,교육담당자 역량향상 과정,1,2024-02-09,2024-02-10,4.25,1115
중국어,중견리더 과정,21,2024-02-19,2024-12-13,5,1
중국어,중견리더 과정,21,2024-02-19,2024-12-13,5,1
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.92,66
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.92,66
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.915,69
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.91,79
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.9,83
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.8975,95
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.8975,95
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.895,97
형법 총칙개요,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.88,115
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.88,115
특별사법경찰 수사실무 우수사례,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.8525,154
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8525,154
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8525,154
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.85,157
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8475,170
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.845,172
형사소송법,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.84,176
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.84,176
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8325,183
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.8325,183
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.825,195
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.825,195
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.825,195
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.825,195
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8225,202
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.82,206
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.82,206
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.82,206
특별사법 경찰제도 이해,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.815,215
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.81,217
4대 폭력예방,중견리더 과정,21,2024-02-19,2024-12-13,4.81,219
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.81,219
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.8075,225
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.7975,246
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.795,248
분임연구지도,중견리더 과정,21,2024-02-19,2024-12-13,4.7925,251
수사인권 및 수사서류 작성 실무 사례,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.79,253
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.79,253
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.79,253
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.79,253
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.785,265
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.785,265
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.7825,272
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.7825,272
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.7825,274
수사의 의미와 피의자 신문방법,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.7775,284
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.775,288
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.7725,293
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.7725,294
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.7725,294
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.77,297
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.77,298
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.77,298
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.765,306
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.765,306
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.76,312
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.76,312
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.76,312
헌법,중견리더 과정,21,2024-02-19,2024-12-13,4.76,312
수사실무 -압수수색-,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.75,327
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.75,327
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.75,327
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.75,327
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.75,327
영어C,중견리더 과정,21,2024-02-19,2024-12-13,4.7475,344
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.745,351
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.74,354
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.74,354
"사진-수료준비활동(전시, 발표 및 기획)",중견리더 과정,21,2024-02-19,2024-12-13,4.735555556,369
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.7325,373
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.73,376
영어C,중견리더 과정,21,2024-02-19,2024-12-13,4.73,376
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.73,376
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.7275,385
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.725,387
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.725,389
생성형인공지능업무활용방법,중견리더 과정,21,2024-02-19,2024-12-13,4.725,389
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.7225,398
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.72,406
회계실무,신규 임용(후보)자 과정(2주차),1,2024-02-19,2024-03-08,4.718,410
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.7175,412
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.7175,412
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.715,416
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.715,416
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.7125,424
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.7125,424
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.7125,424
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.71,435
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.71,435
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.71,435
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.71,435
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.71,435
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.708333333,457
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.7075,458
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.7075,461
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.705,466
야구를 통해 보는 조직관리,중견리더 과정,21,2024-02-19,2024-12-13,4.7025,470
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.7,472
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.7,472
인권의 이해,중견리더 과정,21,2024-02-19,2024-12-13,4.7,472
인문학 힐링 콘서트,중견리더 과정,21,2024-02-19,2024-12-13,4.7,472
영어C,중견리더 과정,21,2024-02-19,2024-12-13,4.7,472
직장 내 괴롭힘 예방,신규 임용(후보)자 과정(3주차),1,2024-02-19,2024-03-08,4.6942,474
슬기로운 방첩생활,신규 임용(후보)자 과정(2주차),1,2024-02-19,2024-03-08,4.6939,475
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.6975,480
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.6975,480
공무원 연금제도의 이해,신규 임용(후보)자 과정(2주차),1,2024-02-19,2024-03-08,4.6919,481
청탁금지법의 이해,신규 임용(후보)자 과정(3주차),1,2024-02-19,2024-03-08,4.6911,484
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.695,486
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.694444444,491
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.6925,493
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.6925,495
댄스스포츠-발표회 및 수료 준비(동아리반),중견리더 과정,21,2024-02-19,2024-12-13,4.69047619,497
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.69,498
공직가치 액션러닝(골든타임 119),신규 임용(후보)자 과정(1주차),1,2024-02-19,2024-03-08,4.6854,500
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.6875,504
영어C,중견리더 과정,21,2024-02-19,2024-12-13,4.6875,504
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.6875,504
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.685,512
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.685,512
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.685,512
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.68,524
"현장 적응 실습(출장, 초과 등)",신규 임용(후보)자 과정(3주차),1,2024-02-19,2024-03-08,4.6738,529
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.6775,531
행정학,중견리더 과정,21,2024-02-19,2024-12-13,4.6775,531
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.6775,531
사진-전시회 및 발표회 준비(동아리교과),중견리더 과정,21,2024-02-19,2024-12-13,4.676666667,536
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.675,537
금융기관 사용설명서,중견리더 과정,21,2024-02-19,2024-12-13,4.675,537
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.675,542
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.675,542
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.675,542
차세대 지방재정관리 시스템,신규 임용(후보)자 과정(3주차),1,2024-02-19,2024-03-08,4.6677,544
중국문화의 이해,중견리더 과정,21,2024-02-19,2024-12-13,4.6725,548
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.6725,548
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.67,550
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.67,550
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.67,550
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.67,550
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.67,550
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.67,550
디지털·미래대응 교육 이해 및 실습,신규 임용(후보)자 과정(2주차),1,2024-02-19,2024-03-08,4.6657,562
독도를 통한 올바른 역사 인식,신규 임용(후보)자 과정(3주차),1,2024-02-19,2024-03-08,4.6646,563
분임연구지도,중견리더 과정,21,2024-02-19,2024-12-13,4.665,565
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.665,565
일본어A,중견리더 과정,21,2024-02-19,2024-12-13,4.6625,574
사례로 보는 사이버범죄 대처요령,중견리더 과정,21,2024-02-19,2024-12-13,4.6625,574
보고서 작성 실습,신규 임용(후보)자 과정(3주차),1,2024-02-19,2024-03-08,4.6585,576
성찰 및 비전 수립,신규 임용(후보)자 과정(3주차),1,2024-02-19,2024-03-08,4.6574,580
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.66,581
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.66,581
Open mind/팀빌딩,신규 임용(후보)자 과정(1주차),1,2024-02-19,2024-03-08,4.6554,583
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.6575,585
독도를 통한 올바른 역사 인식,중견리더 과정,21,2024-02-19,2024-12-13,4.6575,585
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.6575,585
영어C,중견리더 과정,21,2024-02-19,2024-12-13,4.6575,585
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.655,592
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.655,592
일반서무 업무 알아보기,신규 임용(후보)자 과정(3주차),1,2024-02-19,2024-03-08,4.6524,593
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.655,598
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.6525,599
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.6525,599
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.6525,599
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.65,606
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.65,606
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.65,606
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.65,606
공무원 노사관계의 이해,신규 임용(후보)자 과정(2주차),1,2024-02-19,2024-03-08,4.6414,617
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.65,618
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.6475,620
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.645,624
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.645,624
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.6425,629
영어C,중견리더 과정,21,2024-02-19,2024-12-13,4.6425,629
스마트폰 사진 촬영기법,중견리더 과정,21,2024-02-19,2024-12-13,4.6425,629
해설이 있는 영화속 클래식,중견리더 과정,21,2024-02-19,2024-12-13,4.6425,629
댄스스포츠-수료식 발표회 리허설,중견리더 과정,21,2024-02-19,2024-12-13,4.640769231,635
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.64,636
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.64,641
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.64,641
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.64,641
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.64,641
영어A,중견리더 과정,21,2024-02-19,2024-12-13,4.64,641
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.64,641
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.64,641
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.64,641
바람직한 공직관 실천,신규 임용(후보)자 과정(1주차),1,2024-02-19,2024-03-08,4.632,649
경남의 도정과제공유(시군정책 이해를 통한 공감경남 만들기),신규 임용(후보)자 과정(1주차),1,2024-02-19,2024-03-08,4.632,650
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.635,663
"수사실무(범죄인지, 참고인 조사 방법 등)",특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.625,665
탁구,중견리더 과정,21,2024-02-19,2024-12-13,4.6325,669
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.6325,669
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.63,679
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.6275,685
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.6275,687
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.625,691
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.625,691
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.625,691
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.625,691
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.625,691
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.625,691
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.625,691
성과중심 공직가치 함양,신규 임용(후보)자 과정(1주차),1,2024-02-19,2024-03-08,4.6124,694
프리젠테이션과 발표,신규 임용(후보)자 과정(2주차),1,2024-02-19,2024-03-08,4.611,701
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.6225,706
탁구,중견리더 과정,21,2024-02-19,2024-12-13,4.6225,706
탁구,중견리더 과정,21,2024-02-19,2024-12-13,4.6225,706
바람직한 공직관 실천,중견리더 과정,21,2024-02-19,2024-12-13,4.6225,711
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.6225,711
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.6225,711
뉴노멀시대의 재무설계,중견리더 과정,21,2024-02-19,2024-12-13,4.6225,711
수사인권의 이해,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.6071,712
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.62,715
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.62,716
경남 응급의료 운영 현황,중견리더 과정,21,2024-02-19,2024-12-13,4.62,716
"챗 GPT, 생산형 AI",중견리더 과정,21,2024-02-19,2024-12-13,4.62,716
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.62,716
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.62,716
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.62,716
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.62,716
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.62,716
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.62,716
법령체계와 법령해석 방법론,신규 임용(후보)자 과정(3주차),1,2024-02-19,2024-03-08,4.6006,722
행정업무 운영실무,신규 임용(후보)자 과정(2주차),1,2024-02-19,2024-03-08,4.5994,730
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.6175,732
일본어A,중견리더 과정,21,2024-02-19,2024-12-13,4.6175,732
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.6175,732
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.6175,732
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.615,740
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.615,740
잉카문명 페루,중견리더 과정,21,2024-02-19,2024-12-13,4.615,740
현장학습(도정과제 연계),신규 임용(후보)자 과정(2주차),1,2024-02-19,2024-03-08,4.5904,748
"댄스스포츠-수료준비활동(전시, 발표 및 기획)",중견리더 과정,21,2024-02-19,2024-12-13,4.613224638,750
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.6125,751
피의자 신문 및 조서 작성방법,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.5893,752
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.6125,753
리더의 언어,중견리더 과정,21,2024-02-19,2024-12-13,4.6125,753
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.61,756
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.61,756
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.61,761
사진,중견리더 과정,21,2024-02-19,2024-12-13,4.61,761
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.61,761
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.6075,765
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.6075,765
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.605,769
DISC를 통한 커뮤니케이션,중견리더 과정,21,2024-02-19,2024-12-13,4.605,769
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.605,769
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.605,769
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.605,769
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.605,769
온나라 시스템,신규 임용(후보)자 과정(3주차),1,2024-02-19,2024-03-08,4.5803,781
긍정적 업무를 위한 스트레스 관리,중견리더 과정,21,2024-02-19,2024-12-13,4.605,783
상속제 및 증여세 절세전략,중견리더 과정,21,2024-02-19,2024-12-13,4.605,783
위기상황에서 배우는 리더십,중견리더 과정,21,2024-02-19,2024-12-13,4.6025,785
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.6025,785
디지털 리터러시,중견리더 과정,21,2024-02-19,2024-12-13,4.6,790
통기타,중견리더 과정,21,2024-02-19,2024-12-13,4.6,792
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.6,792
일본어A,중견리더 과정,21,2024-02-19,2024-12-13,4.6,792
형법 총칙개요,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.5714,796
보고서 작성 및 기획역량 강화,신규 임용(후보)자 과정(2주차),1,2024-02-19,2024-03-08,4.5713,800
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.5975,807
통기타,중견리더 과정,21,2024-02-19,2024-12-13,4.595,816
일본어A,중견리더 과정,21,2024-02-19,2024-12-13,4.595,817
영어C,중견리더 과정,21,2024-02-19,2024-12-13,4.5925,822
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.5925,822
open mind / 팀빌딩,신규 임용(후보)자 과정,1,2024-02-19,2024-03-08,4.59,827
영어C,중견리더 과정,21,2024-02-19,2024-12-13,4.59,827
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.59,827
부동산과 양도 소득세,중견리더 과정,21,2024-02-19,2024-12-13,4.59,827
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.59,827
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.59,827
사진-발표회 및 수료 준비(동아리반),중견리더 과정,21,2024-02-19,2024-12-13,4.588709677,839
특별사법 경찰제도 이해,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.5536,840
"세대공감 및 민원응대(주제선정, 사례 등)",신규 임용(후보)자 과정(1주차),1,2024-02-19,2024-03-08,4.5534,842
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.5875,843
바람직한 공직관 실천,신규 임용(후보)자 과정,1,2024-02-19,2024-03-08,4.585,845
통기타,중견리더 과정,21,2024-02-19,2024-12-13,4.585,845
생명을 지키는 교통안전,중견리더 과정,21,2024-02-19,2024-12-13,4.585,849
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.5825,851
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.5825,851
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.5825,851
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.5825,851
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.5825,851
분임연구지도,중견리더 과정,21,2024-02-19,2024-12-13,4.58,861
헌법,중견리더 과정,21,2024-02-19,2024-12-13,4.58,861
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.58,861
예산실무,신규 임용(후보)자 과정(1주차),1,2024-02-19,2024-03-08,4.5393,865
소통을 위한 대화의 기술과 공감기법,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.5357,866
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.5775,871
일본어A,중견리더 과정,21,2024-02-19,2024-12-13,4.5775,871
언론과의 효과적 소통 및 대응,중견리더 과정,21,2024-02-19,2024-12-13,4.5775,871
세계문화기행,중견리더 과정,21,2024-02-19,2024-12-13,4.5775,871
발표능력 기법 향상,신규 임용(후보)자 과정,1,2024-02-19,2024-03-08,4.575,877
우주먼지이야기,중견리더 과정,21,2024-02-19,2024-12-13,4.575,877
뉴미디어시대 정책 홍보전략,중견리더 과정,21,2024-02-19,2024-12-13,4.575,877
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.575,884
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.5725,889
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.5725,889
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.5725,889
현장학습(도정과제 연계),신규 임용(후보)자 과정(2주차),1,2024-02-19,2024-03-08,4.5104,893
중국어,중견리더 과정,21,2024-02-19,2024-12-13,4.57,895
영어C,중견리더 과정,21,2024-02-19,2024-12-13,4.57,895
보이스트레이닝,중견리더 과정,21,2024-02-19,2024-12-13,4.5675,905
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.565,919
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.565,919
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.5625,924
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.5625,924
정리수납,중견리더 과정,21,2024-02-19,2024-12-13,4.5625,924
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.5625,924
분야별 수사실무 사례,특별사법경찰 수사실무 과정,1,2024-02-19,2024-02-21,4.4821,928
생각의 정리기술,중견리더 과정,21,2024-02-19,2024-12-13,4.5625,932
댄스스포츠,중견리더 과정,21,2024-02-19,2024-12-13,4.56,933
라탄공예,중견리더 과정,21,2024-02-19,2024-12-13,4.56,933
경남 도시 블렌딩,중견리더 과정,21,2024-02-19,2024-12-13,4.56,933
인생을 바꾼 작은 습관,중견리더 과정,21,2024-02-19,2024-12-13,4.56,942
일본어B,중견리더 과정,21,2024-02-19,2024-12-13,4.56,942
지속가능 행정을 위한 ESG,중견리더 과정,21,2024-02-19,2024-12-13,4.56,942
경남의 비전과 주요정책,신규 임용(후보)자 과정(2주차),1,2024-02-19,2024-03-08,4.4593,948
"라탄공예-수료준비활동(전시, 발표 및 기획)",중견리더 과정,21,2024-02-19,2024-12-13,4.555555556,955
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.555,956
가죽공예,중견리더 과정,21,2024-02-19,2024-12-13,4.5525,962
바람직한 공직관 실천,중견리더 과정,21,2024-02-19,2024-12-13,4.5525,962
영어C,중견리더 과정,21,2024-02-19,2024-12-13,4.5525,962
일본어A,중견리더 과정,21,2024-02-19,2024-12-13,4.55,971
공직가치 액션러닝(골든타임 119),신규 임용(후보)자 과정,1,2024-02-19,2024-03-08,4.55,972
일본어A,중견리더 과정,21,2024-02-19,2024-12-13,4.55,972
스피치 스킬 향상,중견리더 과정,21,2024-02-19,2024-12-13,4.55,972
한자,중견리더 과정,21,2024-02-19,2024-12-13,4.55,972
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.55,972
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.55,972
영어B,중견리더 과정,21,2024-02-19,2024-12-13,4.55,972
골프는 매너운동/스트레스 치유,중견리더 과정,21,2024-02-19,2024-12-13,4.55,972
세대공감 및 민원응대 역할연기(평가 및 공유),신규 임용(후보)자 과정(1주차),1,2024-02-19,2024-03-08,4.4318,978
세대공감 및 민원응대 역할연기(상황훈련 및 리허설),신규 임용(후보)자 과정(1주차),1,2024-02-19,2024-03-08,4.431,981
명품바디만들기,중견리더 과정,21,2024-02-19,2024-12-13,4.5475,992
4차 산업혁명과 이순신 리더십,중견리더 과정,21,2024-02-19,2024-12-13,4.5475,992
