교육과정,기수,분류,교육시작일,교육종료일,교육장소,교육인원,전반만족도,역량향상도,현업적용도,교과편만족도,강의만족도,종합만족도,순위
인포그래픽 활용 과정,1,핵심(디지털),2024-12-05,2024-12-06,인재개발원,30,4.61,4.57,4.75,4.71,4.73,4.668,45
파워포인트 활용(초급) 과정,1,핵심(디지털),2024-06-28,2024-06-28,인재개발원,28,4.59,4.75,4.64,4.64,4.81,4.659,46
명품 스피치 과정,3,직무(공통),2024-12-16,2024-12-18,인재개발원,22,4.74,4.74,4.68,4.79,4.69,4.659,47
산림정책 실무 과정,1,직무(전문),2024-07-17,2024-07-19,인재개발원,13,4.73,4.73,4.64,4.64,4.71,4.651,48
소통과 공감 과정,5,기본(기본),2024-08-01,2024-08-02,현장캠퍼스,12,4.64,4.55,4.55,4.55,4.64,4.64,49
트라이포트와 물류산업 과정,1,핵심(핵심과제),2024-07-10,2024-07-12,인재개발원,8,4.88,4.63,4.75,4.5,4.52,4.638,50
성별영향평가 과정,1,직무(전문),2024-04-11,2024-04-12,인재개발원,17,4.67,4.6,4.8,4.6,4.81,4.62,51
지리산 천왕봉 힐링 과정,2,직무(인문·소양),2024-10-30,2024-11-01,현장캠퍼스,37,4.74,4.56,4.5,4.68,4.67,4.619,52
7·8급 승진자 역량향상 과정,3,기본(기본),2024-06-25,2024-06-28,인재개발원,23,4.64,4.64,4.64,4.55,4.75,4.618,53
경남 일자리 과정,2,핵심(핵심과제),2024-10-07,2024-10-08,인재개발원,9,4.62,4.75,4.5,4.75,4.66,4.617,54
과장급 필수 역량향상 과정,1,기본(리더십),2024-04-02,2024-04-05,인재개발원,18,4.78,4.83,4.61,4.56,4.78,4.616,55
미래설계 과정,4,직무(인문·소양),2024-11-11,2024-11-22,인재개발원,33,4.78,4.55,4.61,4.52,4.59,4.614,56
정수장 관리 실무 과정,1,직무(전문),2024-10-10,2024-10-11,인재개발원,12,4.78,4.67,4.78,4.56,4.69,4.612,57
가야사 바로알기 과정,3,직무(인문·소양),2024-10-30,2024-11-01,인재개발원,30,4.7,4.63,4.48,4.67,4.7,4.611,58
신규공무원 역량향상 심화 과정,3,기본(기본),2024-05-08,2024-05-10,인재개발원,34,4.5,4.62,4.65,4.62,4.59,4.611,59
행사실무 과정,2,직무(공통),2024-08-29,2024-08-30,인재개발원,22,4.73,4.68,4.73,4.68,4.68,4.608,60
항노화산업 탐방 과정,1,직무(인문·소양),2024-05-22,2024-05-24,인재개발원,34,4.71,4.62,4.44,4.62,4.58,4.603,61
경남 바로알기 과정,1,핵심(핵심과제),2024-03-06,2024-03-08,인재개발원,31,4.69,4.69,4.52,4.72,4.56,4.603,62
소통과 공감 과정,3,기본(기본),2024-07-04,2024-07-05,현장캠퍼스,14,4.58,4.58,4.58,4.58,4.58,4.603,63
재난관리 실무 과정,4,직무(전문),2024-09-25,2024-09-27,인재개발원,25,4.7,4.6,4.55,4.4,4.67,4.602,64
항노화산업 탐방 과정,2,직무(인문·소양),2024-10-15,2024-10-17,인재개발원,25,4.79,4.67,4.58,4.71,4.17,4.595,65
업무용 오피스 활용 과정,3,핵심(디지털),2024-09-11,2024-09-13,인재개발원,25,4.73,4.59,4.64,4.59,4.63,4.591,66
명품 스피치 과정,1,직무(공통),2024-05-01,2024-05-03,인재개발원,19,4.78,4.67,4.61,4.61,4.61,4.59,67
시·군 팀장 리더십 과정,2,기본(리더십),2024-04-03,2024-04-05,현장캠퍼스,16,4.56,4.56,4.56,4.56,4.67,4.59,68
스트레스 치유 과정,1,직무(인문·소양),2024-07-03,2024-07-05,인재개발원,28,4.69,4.54,4.46,4.5,4.55,4.589,69
재난관리 실무 과정,2,직무(전문),2024-05-22,2024-05-24,인재개발원,31,4.61,4.48,4.55,4.52,4.63,4.584,70
경남 바로알기 과정,2,핵심(핵심과제),2024-12-11,2024-12-13,인재개발원,28,4.64,4.64,4.52,4.48,4.54,4.574,71
7·8급 승진자 역량향상 과정,2,기본(기본),2024-04-16,2024-04-19,인재개발원,25,4.62,4.33,4.38,4.38,4.73,4.573,72
드론 이해 및 행정 활용 과정,1,핵심(디지털),2024-03-27,2024-03-29,현장캠퍼스,17,4.71,4.59,4.44,4.59,4.63,4.571,73
엑셀활용(초급)과정,1,핵심(디지털),2024-03-22,2024-03-22,인재개발원,29,4.57,4.64,4.64,4.61,4.74,4.57,74
빅데이터 분석과 행정활용 과정,1,핵심(디지털),2024-07-24,2024-07-26,인재개발원,11,4.7,4.45,4.36,4.64,4.66,4.567,75
시·군 팀장 역량향상 과정,2,기본(리더십),2024-06-12,2024-06-14,현장캠퍼스,15,4.73,4.6,4.47,4.47,4.6,4.567,76
드론 이해 및 행정 활용 과정,3,핵심(디지털),2024-09-04,2024-09-06,현장캠퍼스,20,4.55,4.65,4.68,4.6,4.6,4.553,77
경남 일자리 과정,1,핵심(핵심과제),2024-07-11,2024-07-12,인재개발원,7,4.57,4.57,4.29,4.43,4.75,4.552,78
시·군 팀장 리더십 과정,7,기본(리더십),2024-12-11,2024-12-13,현장캠퍼스,21,4.67,4.5,4.44,4.5,4.66,4.55,79
가야사 바로알기 과정,1,직무(인문·소양),2024-04-03,2024-04-05,인재개발원,32,4.69,4.69,4.45,4.62,4.64,4.55,80
디자인 플랫폼 활용 과정,2,핵심(디지털),2024-11-05,2024-11-05,인재개발원,30,4.52,4.52,4.44,4.48,4.8,4.545,81
4차 산업혁명과 AI 활용 과정,2,핵심(디지털),2024-09-25,2024-09-27,인재개발원,28,4.65,4.58,4.5,4.42,4.58,4.539,82
신규공무원 역량향상 심화 과정,1,기본(기본),2024-03-13,2024-03-15,인재개발원,32,4.53,4.47,4.59,4.56,4.62,4.538,83
기후위기 적응 대응 과정,2,핵심(핵심과제),2024-10-24,2024-10-25,인재개발원,12,4.5,4.58,4.5,4.5,4.66,4.524,84
인생 2모작 준비 과정,1,직무(인문·소양),2024-07-17,2024-07-19,인재개발원,25,4.64,4.68,4.4,4.64,4.57,4.521,85
전입공무원 역량향상 과정,1,기본(기본),2024-09-19,2024-09-20,인재개발원,44,4.6,4.53,4.53,4.53,4.63,4.517,86
경남의 섬 과정,3,직무(인문·소양),2024-10-15,2024-10-18,인재개발원,40,4.56,4.53,4.42,4.5,4.49,4.515,87
기획능력 향상 과정,1,직무(공통),2024-03-27,2024-03-29,인재개발원,18,4.59,4.76,4.71,4.59,4.52,4.514,88
시·군 팀장 리더십 과정,1,기본(리더십),2024-03-06,2024-03-08,현장캠퍼스,15,4.67,4.53,4.53,4.6,4.56,4.513,89
[교류] 동서화합 문화관광 탐방 과정,1,직무(인문·소양),2024-05-01,2024-05-03,현장캠퍼스,33,4.52,4.44,4.37,4.513,4.513,4.513,90
경남의 섬 과정,2,직무(인문·소양),2024-05-28,2024-05-31,인재개발원,37,4.64,4.61,4.47,4.44,4.57,4.51,91
신규공무원 역량향상 심화 과정,7,기본(기본),2024-10-16,2024-10-18,인재개발원,33,4.59,4.53,4.53,4.5,4.58,4.508,92
재난관리 실무 과정,3,직무(전문),2024-07-03,2024-07-05,인재개발원,12,4.5,4.5,4.25,4.5,4.7,4.503,93
신규공무원 역량향상 심화 과정,8,기본(기본),2024-11-06,2024-11-08,인재개발원,36,4.47,4.5,4.5,4.44,4.5,4.5,94
신규공무원 역량향상 심화 과정,6,기본(기본),2024-09-25,2024-09-27,인재개발원,34,4.48,4.52,4.45,4.55,4.56,4.495,95
미래설계 과정,3,직무(인문·소양),2024-09-02,2024-09-13,인재개발원,67,4.56,4.57,4.33,4.46,4.52,4.493,96
공직자 이해충돌 방지 과정,1,기본(기본),2024-05-17,2024-05-17,온라인,34,4.48,4.48,4.58,4.52,4.51,4.492,97
지방의회 공무원 실무역량 향상 과정,2,직무(전문),2024-08-26,2024-08-28,인재개발원,14,4.71,4.57,4.57,4.5,4.59,4.488,98
시·군 팀장 역량향상 과정,3,기본(리더십),2024-11-06,2024-11-08,현장캠퍼스,18,4.44,4.44,4.56,4.56,4.77,4.482,99
시·군 팀장 리더십 과정,4,기본(리더십),2024-05-22,2024-05-24,현장캠퍼스,25,4.56,4.52,4.52,4.4,4.48,4.474,100
기간제 근로자 관리자 과정,1,직무(전문),2024-03-06,2024-03-08,인재개발원,16,4.47,4.47,4.6,4.13,4.56,4.468,101
기획능력 향상 과정,3,직무(공통),2024-12-11,2024-12-13,인재개발원,25,4.48,4.48,4.56,4.48,4.49,4.468,102
시·군 팀장 리더십 과정,3,기본(리더십),2024-04-24,2024-04-26,현장캠퍼스,16,4.69,4.38,4.38,4.38,4.74,4.468,103
시·군 팀장 역량향상 과정,4,기본(리더십),2024-10-28,2024-10-30,현장캠퍼스,18,4.5,4.6,4.6,4.5,4.6,4.467,104
5급 관리자 리더십 과정,2,기본(리더십),2024-08-28,2024-08-30,인재개발원,19,4.58,4.47,4.37,4.53,4.71,4.464,105
