교육과정,세분류,인정시간,학습시간,인정비율,개발연도,개발월,비고
모두가 함께 잘 사는 주거서비스 인사이트,주거서비스,9,20,0.45,2022,8,민간위탁사이버교육
[직무 새로고침] 재무제표를 알면 비즈니스가 通한다,재무관리,13,20,0.65,2023,10,민간위탁사이버교육
K 회계사의 숨겨둔 재무제표 해석노트,재무관리,3,20,0.15,2023,12,민간위탁사이버교육
이동의 혁신 무인이동체,자율주행,9,20,0.45,2022,7,민간위탁사이버교육
"미래 모빌리티 이슈와 전망, 스마트 시대를 준비하다",자율주행,9,20,0.45,2023,6,민간위탁사이버교육
[온캠] 한번에 끝내는 임상심리사 2급 필기 5과목_심리상담+기출문제해설,임상심리사,9,20,0.45,2024,2,민간위탁사이버교육
성과 에로스의 욕망 읽기,인문학,10,20,0.5,2022,9,민간위탁사이버교육
들뢰즈의 영원회귀: 차이의 존재론과 사건의 윤리학,인문학,10,20,0.5,2023,4,민간위탁사이버교육
[뉴노멀 DX] 디지털 비즈니스 플랫폼 생존전략 업그레이드,인공지능,10,20,0.5,2023,7,민간위탁사이버교육
누구나 쉽게 배우는 인공지능,인공지능,9,20,0.45,2022,11,민간위탁사이버교육
[AI 크리에이터] 유호의 마음이 따뜻한 AI 그림책 만들기 -With 미드저니,인공지능,4,20,0.2,2024,6,민간위탁사이버교육
[스파르타코딩클럽] 딱! 2주만에 인공지능으로 디자인 타파,인공지능,2,20,0.1,2024,2,민간위탁사이버교육
[AI 크리에이터] 루미나린의 AI 음악 생성,음악제작,2,20,0.1,2024,6,민간위탁사이버교육
세계 걸작 건축 기행,예술,8,20,0.4,2024,2,민간위탁사이버교육
고객가치 실현을 위한 세일즈 커뮤니케이션,영업전략,8,20,0.4,2023,5,민간위탁사이버교육
"마음과 뇌, 인간 이해를 위한 두 가지 열쇠: 마음과 뇌에 관한 현상학적 탐구",역사/철학,10,20,0.5,2022,12,민간위탁사이버교육
인도와 융으로 읽는 헤세Ⅰ- 깨달음으로 가는 여정,역사/철학,9,20,0.45,2022,11,민간위탁사이버교육
인도와 융으로 읽는 헤세Ⅱ- 자기에게로 가는 길,역사/철학,9,20,0.45,2023,1,민간위탁사이버교육
기계주의 철학입문: 기계의 철학과 사물의 사유,역사/철학,8,20,0.4,2022,2,민간위탁사이버교육
[다시일] 다시 시작하는 일본어회화 중급,어휘(문법),7,20,0.35,2023,10,민간위탁사이버교육
마따하리 70일 완성 기초 인도네시아회화 - 확장응용 2,어휘(문법),6,20,0.3,2022,3,민간위탁사이버교육
"핫크리스탈 센세 사무실에서 자주 쓰는 비즈니스일본어 8주만에 끝내기 (전화,이메일편)",어휘(문법),5,20,0.25,2022,7,민간위탁사이버교육
마따하리 70일 완성 기초 인도네시아회화 - 핵심패턴,어휘(문법),5,20,0.25,2022,3,민간위탁사이버교육
마따하리 70일 완성 기초 인도네시아회화 - 확장응용 1,어휘(문법),5,20,0.25,2022,3,민간위탁사이버교육
"대한민국의 시작, 대한민국 임시정부",시책,10,20,0.5,,,나라배움터
해양기상학,시책,10,20,0.5,,,나라배움터
언어술사 임유정의 만사형통 비즈니스 스피치,스피치,8,20,0.4,2022,10,민간위탁사이버교육
방송인 이숙영의 소통 붐붐! 비즈니스 커뮤니케이션,소통스킬,10,20,0.5,2022,8,민간위탁사이버교육
인생실무! 스토리텔링으로 '나' 브랜딩하기,셀프리더십,3,20,0.15,2022,9,민간위탁사이버교육
[세일즈 고수의 영업노하우] 영업 펀더멘탈 만들기,세일즈,7,20,0.35,2023,5,민간위탁사이버교육
유니콘코치 장대표의 평범함에서 위대함으로 자기변혁,성공학,5,20,0.25,2024,8,민간위탁사이버교육
유니콘코치 장대표의 인생을?바꾸는?5단계?성공의?법칙,성공학,5,20,0.25,2024,11,민간위탁사이버교육
보통 직장인을 위한 비즈니스 역량 18가지,비즈니스역량,9,20,0.45,2022,9,민간위탁사이버교육
상사의 마음을 얻어라! 보고의 달인 되기,보고스킬,10,20,0.5,2022,6,민간위탁사이버교육
물류관리사_물류관리론(송우석),물류관리사,10,20,0.5,2024,5,민간위탁사이버교육
물류관리사_화물운송론(송우석),물류관리사,9,20,0.45,2024,5,민간위탁사이버교육
시인 나희덕의 미국 여성시 읽기,문학,12,20,0.6,2022,10,민간위탁사이버교육
[꼭짓점 토익 저자 직강] 영포자 맞춤식 기초 영문법,문법(어휘),8,20,0.4,2022,6,민간위탁사이버교육
상황 속 한 끗 표현 2,문법(어휘),4,20,0.2,2024,3,민간위탁사이버교육
"마법처럼 풀리는, 왕기초영어 - 문장2",문법(어휘),3,20,0.15,2022,3,민간위탁사이버교육
상황 속 한 끗 표현 1,문법(어휘),3,20,0.15,2024,3,민간위탁사이버교육
"마법처럼 풀리는, 왕기초영어 - 문장1",문법(어휘),2,20,0.1,2022,3,민간위탁사이버교육
노지영 선생님의 미라클 랭귀지 일본어편 1,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
노지영 선생님의 미라클 랭귀지 일본어편 2,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
노지영 선생님의 미라클 랭귀지 일본어편 3,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
노지영 선생님의 미라클 랭귀지 일본어편 4,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
노지영 선생님의 미라클 랭귀지 일본어편 5,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
티엔 선생님의 미라클 랭귀지 중국어편 1,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
티엔 선생님의 미라클 랭귀지 중국어편 2,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
티엔 선생님의 미라클 랭귀지 중국어편 3,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
티엔 선생님의 미라클 랭귀지 중국어편 4,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
티엔 선생님의 미라클 랭귀지 중국어편 5,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
유수진 선생님의 미라클 랭귀지 스페인어편 1,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
유수진 선생님의 미라클 랭귀지 스페인어편 2,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
유수진 선생님의 미라클 랭귀지 스페인어편 3,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
유수진 선생님의 미라클 랭귀지 스페인어편 4,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
유수진 선생님의 미라클 랭귀지 스페인어편 5,말하기(회화),10,20,0.5,2023,2,민간위탁사이버교육
[시원스쿨] 포르투갈어 왕초보탈출 1탄-2,말하기(회화),9,20,0.45,2024,5,민간위탁사이버교육
베이징 지하철 여행 중국어,말하기(회화),8,20,0.4,2023,9,민간위탁사이버교육
[Global Thinking A to Z] 비즈니스 영어 파트너 - 사내업무 및 VOC,말하기(회화),7,20,0.35,2022,5,민간위탁사이버교육
[Global Thinking A to Z] 비즈니스 영어 파트너 - 사외업무 및 프로젝트 관리,말하기(회화),7,20,0.35,2022,5,민간위탁사이버교육
[시원스쿨] 포르투갈어 왕초보탈출 2탄-2,말하기(회화),7,20,0.35,2024,5,민간위탁사이버교육
현장에서 바로 쓰는 금융 실무 영어 English for Finance STEP1,말하기(회화),5,20,0.25,2023,2,민간위탁사이버교육
현장에서 바로 쓰는 금융 실무 영어 English for Finance STEP2,말하기(회화),5,20,0.25,2023,5,민간위탁사이버교육
[시원스쿨] 진짜학습지 영어 실전회화 2-4,말하기(회화),4,20,0.2,2022,1,민간위탁사이버교육
[시원스쿨] 진짜학습지 영어 실전회화 2-5,말하기(회화),4,20,0.2,2022,1,민간위탁사이버교육
바로 써먹는 상황별 Travel Tips,말하기(회화),4,20,0.2,2023,7,민간위탁사이버교육
[영어로 세계 속으로] 방구석 클래스 with 테드 1-1,말하기(회화),4,20,0.2,2023,10,민간위탁사이버교육
[영어로 세계 속으로] 방구석 클래스 with 테드 1-2,말하기(회화),4,20,0.2,2023,10,민간위탁사이버교육
[영어로 세계 속으로] 방구석 클래스 with 테드 2-1,말하기(회화),4,20,0.2,2023,10,민간위탁사이버교육
[영어로 세계 속으로] 방구석 클래스 with 테드 2-2,말하기(회화),4,20,0.2,2023,10,민간위탁사이버교육
참 쉬운 베트남어 1-1,말하기(회화),4,20,0.2,2022,7,민간위탁사이버교육
참 쉬운 베트남어 2-1,말하기(회화),4,20,0.2,2022,7,민간위탁사이버교육
[시원스쿨] 네이티브만 아는 진짜영어 - 소통패턴 100 part 1,말하기(회화),3,20,0.15,2022,1,민간위탁사이버교육
[시원스쿨] 네이티브만 아는 진짜영어 - 소통패턴 100 part 2,말하기(회화),3,20,0.15,2022,1,민간위탁사이버교육
[시원스쿨] 네이티브만 아는 진짜영어 - 소통패턴 100 part 3,말하기(회화),3,20,0.15,2022,1,민간위탁사이버교육
[시원스쿨] 네이티브만 아는 진짜영어 - 소통패턴 100 part 4,말하기(회화),3,20,0.15,2022,1,민간위탁사이버교육
[시원스쿨] 네이티브만 아는 진짜영어 - 소통패턴 100 part 5,말하기(회화),3,20,0.15,2022,1,민간위탁사이버교육
뉴스로 배우는 시사 중국어,말하기(회화),3,20,0.15,2024,1,민간위탁사이버교육
하루 10분! 뇌운동 프로젝트 - 러시아어 기초 트레이닝 ,말하기(회화),2,20,0.1,2022,9,민간위탁사이버교육
하루 10분! 뇌운동 프로젝트 - 러시아어 실전 트레이닝,말하기(회화),2,20,0.1,2022,9,민간위탁사이버교육
하루 10분! 뇌운동 프로젝트 - 러시아어 심화 트레이닝 ,말하기(회화),2,20,0.1,2022,9,민간위탁사이버교육
[마케팅분석] 데이터 해석을 위한 시각화 - 루커스튜디오,마케팅전략,3,20,0.15,2023,5,민간위탁사이버교육
챗GPT로 날로 먹는 콘텐츠 마케팅 자동화 3 - 마케팅 자동화와 실습,마케팅전략,2,20,0.1,2024,6,민간위탁사이버교육
삶의 태도를 바꾸는 직장인 마음챙김(DBT로 치유하는 나),마음관리,10,20,0.5,2023,1,민간위탁사이버교육
인정받는 일잘러의 SNS 마케팅 비밀,디지털마케팅,9,20,0.45,2024,7,민간위탁사이버교육
The Storyhouse ASMR - Around the World in 80 Days - 1,듣기(청취),4,20,0.2,2023,7,민간위탁사이버교육
The Storyhouse ASMR - Around the World in 80 Days - 2,듣기(청취),4,20,0.2,2023,7,민간위탁사이버교육
하루 10분! 뇌운동 프로젝트 - 프랑스어 실전 트레이닝 ,듣기(청취),4,20,0.2,2022,9,민간위탁사이버교육
하루 10분! 뇌운동 프로젝트 - 프랑스어 심화 트레이닝 (1),듣기(청취),4,20,0.2,2022,9,민간위탁사이버교육
하루 10분! 뇌운동 프로젝트 - 프랑스어 심화 트레이닝 (2),듣기(청취),4,20,0.2,2022,9,민간위탁사이버교육
보통 직장인을 위한 데이터 리터러시,데이터활용,9,20,0.45,2022,8,민간위탁사이버교육
[How2업스킬] 전 직원을 위한 데이터 감수성 키우기,데이터활용,9,20,0.45,2022,8,민간위탁사이버교육
나는 처세술 대신 데이터분석을 택했다,데이터활용,8,20,0.4,2023,7,민간위탁사이버교육
[지식 큐레이션] 나의 가치를 높이는 우아한 대화법,대화법,3,20,0.15,2025,1,민간위탁사이버교육
[꼭짓점 토익 저자 직강] 토익 기출의 재구성 파트 6,TOEIC,13,20,0.65,2022,7,민간위탁사이버교육
[시원스쿨] 처음토익 기초 영문법 step2,TOEIC,6,20,0.3,2024,3,민간위탁사이버교육
NEW 통하다 톡하다 SJPT 심화(파트 5~7) 2,SJPT,4,20,0.2,2023,10,민간위탁사이버교육
답이 바로 풀리는 퀵 JLPT N4,JLPT,5,20,0.25,2023,9,민간위탁사이버교육
답이 바로 들리는 퀵 HSK3급 기출문제풀이 듣기편,HSK,11,20,0.55,2023,9,민간위탁사이버교육
조혜숙의 HSK 3급 완전타파 1_듣기타파,HSK,9,20,0.45,2023,9,민간위탁사이버교육
조혜숙의 HSK 3급 완전타파 2_독해타파,HSK,9,20,0.45,2023,9,민간위탁사이버교육
조혜숙의 HSK 3급 완전타파 3_쓰기타파,HSK,9,20,0.45,2023,9,민간위탁사이버교육
NIHAO! HSK 어휘 스타터(1~3급),HSK,5,20,0.25,2022,7,민간위탁사이버교육
답이 바로 보이는 퀵 HSK6급 비법노트,HSK,4,20,0.2,2023,9,민간위탁사이버교육
이선민의 일단합격 HSK3급 기출문제풀이 듣기편,HSK,4,20,0.2,2022,1,민간위탁사이버교육
왕리의 핵심 포인트 지존 HSK6급 비법노트,HSK,3,20,0.15,2022,1,민간위탁사이버교육
OMG(Oh! My G-telp)-실전 기출 유형 1,G-telp,9,20,0.45,2023,7,민간위탁사이버교육
OMG(Oh! My G-telp)-퀵 스타터 문법편,G-telp,8,20,0.4,2022,5,민간위탁사이버교육
OMG(Oh! My G-telp)-퀵 스타터 독해편,G-telp,8,20,0.4,2022,5,민간위탁사이버교육
OMG(Oh! My G-telp)-지텔프 보카,G-telp,8,20,0.4,2022,5,민간위탁사이버교육
OMG(Oh! My G-telp)-지텔프43+ 1,G-telp,8,20,0.4,2022,5,민간위탁사이버교육
OMG(Oh! My G-telp)-지텔프43+ 2,G-telp,8,20,0.4,2022,5,민간위탁사이버교육
OMG(Oh! My G-telp)-퀵 지텔프 공식 모의고사 1,G-telp,8,20,0.4,2022,5,민간위탁사이버교육
OMG(Oh! My G-telp)-퀵 지텔프 공식 모의고사 2,G-telp,8,20,0.4,2022,5,민간위탁사이버교육
OMG(Oh! My G-telp)-Final 실전 2,G-telp,8,20,0.4,2023,7,민간위탁사이버교육
[상위1% 인공지능] AI시대 ChatGPT 분야별 실무적용 활용법,ChatGPT,19,20,0.95,2024,2,민간위탁사이버교육
챗GPT API 활용과 나만의 챗GPT 만들기,ChatGPT,11,20,0.55,2023,8,민간위탁사이버교육
"일잘러들의 업무파트너, ChatGPT 스마트하게 일하라",ChatGPT,10,20,0.5,2023,12,민간위탁사이버교육
[HD]No code(노코드)! AppSheet(앱시트)로 코딩없이 전문가 수준 앱 만들기 (입문) Part.3 컬럼 타입,AppSheet,9,20,0.45,2023,6,민간위탁사이버교육
Change Tomorrow! 4차산업기술 BIG5!,4차산업혁명,10,20,0.5,2022,9,민간위탁사이버교육
고객만족을 위한 4차산업 뉴노멀 CS 혁명 (20차시 ver),-,10,20,0.5,2022,2,민간위탁사이버교육
[전사원 필수] 구해줘! 비즈니스 커뮤니케이션! (20차시 ver),-,10,20,0.5,2022,2,민간위탁사이버교육
"TOGETHER!! 디지털 융합의 시대, 정보보안 이해하기",-,9,20,0.45,2023,4,민간위탁사이버교육
[Global Thinking A to Z] 비즈니스 파트너 - 대내업무,-,8,20,0.4,2022,10,민간위탁사이버교육
[Global Thinking A to Z] 비즈니스 파트너 - 대외업무,-,8,20,0.4,2022,10,민간위탁사이버교육
"요즘 직장, 요즘 직원을 위한 피드백의 모든 것",피드백,8,19,0.421052632,2024,11,민간위탁사이버교육
나와 조직을 변화시키는 코칭 리더십,코칭,9,19,0.473684211,2024,10,민간위탁사이버교육
내 안의 잠재력을 깨우는 코칭 스킬,코칭,9,19,0.473684211,2024,12,민간위탁사이버교육
런업! 컴퓨터활용능력 1급 필기 - 1과목 컴퓨터일반 (2025),컴퓨터활용능력,12,19,0.631578947,2024,11,민간위탁사이버교육
[온캠] 한번에 끝내는 컴퓨터활용능력 2급 필기 (2024년),컴퓨터활용능력,10,19,0.526315789,2024,1,민간위탁사이버교육
"전사원 두뇌 역량 강화, 창의적 사고와 비주얼라이제이션",창의력관리,9,19,0.473684211,2024,9,민간위탁사이버교육
회사를 보호하는 힘! 영업비밀&지식재산권&정보보호,지식재산권,9,19,0.473684211,2024,2,민간위탁사이버교육
하루에 하나씩 배우는 하루 배움 중국어 4. 표현 편(3),중국어,10,19,0.526315789,2022,12,민간위탁사이버교육
글로벌 리더로 도약하는 조직 성장 가이드,조직변화,10,19,0.526315789,2024,12,민간위탁사이버교육
"데이터시대, 정보보호를 위한 가이드라인",정보보호,10,19,0.526315789,2024,1,민간위탁사이버교육
e-비즈니스를 알면 기업의 미래가 보인다,전자상거래,9,19,0.473684211,2024,11,민간위탁사이버교육
나와 회사가 상생하는 조직문화 만들기,인재관리,9,19,0.473684211,2024,10,민간위탁사이버교육
"[가.인.지] 인사평가, 이 자료로 한번에 끝내십시오!",인사평가,3,19,0.157894737,2023,5,민간위탁사이버교육
"DT시대, 스마트워크와 워크다이어트로 프로 일잘러 되기",워크다이어트,9,19,0.473684211,2024,2,민간위탁사이버교육
비즈니스 마스터 ? 스마트 사원이 되는 지름길,영업전략,10,19,0.526315789,2024,1,민간위탁사이버교육
조직 경영목표 달성을 위한 업무 자동화 매뉴얼,업무관리,9,19,0.473684211,2024,10,민간위탁사이버교육
"(여행일본어) 여기 어때, 일본 맛집멋집 핫플레이스 - 교토 & 오사카 외",어휘(문법),3,19,0.157894737,2024,1,민간위탁사이버교육
전파간섭분석,시책,9,19,0.473684211,,,나라배움터
다양한 가치를 연결하는 방법 [소통과 공감],소통스킬,10,19,0.526315789,2024,1,민간위탁사이버교육
"커뮤니케이션 레볼루션, 기업의 미래를 설계하다",소통스킬,9,19,0.473684211,2024,5,민간위탁사이버교육
현대 일본의 이해,소양,9,19,0.473684211,,,나라배움터
현대 중국의 이해,소양,9,19,0.473684211,,,나라배움터
[세일즈 고수의 영업노하우] 갑을 관계에서 장기적 파트너로 나아가기,세일즈,4,19,0.210526316,2023,5,민간위탁사이버교육
[실전에서 써먹는 리더십] 리더는 성과다,성과창출,4,19,0.210526316,2023,5,민간위탁사이버교육
우리 회사 성장백서,성과관리,8,19,0.421052632,2024,10,민간위탁사이버교육
"천 원을 경영하다, 국민가게 다이소의 고객경험관리 스토리",성공전략,8,19,0.421052632,2024,11,민간위탁사이버교육
완전정복! 사무행정 실무 향상 교육,사무행정,8,19,0.421052632,2024,7,민간위탁사이버교육
부동산전문변호사가 알려주는 ‘호갱되지 않는 법’,부동산,2,19,0.105263158,2022,1,민간위탁사이버교육
따라만 하면 OK! 말이 되는 보고서 작성 원칙,보고서,8,19,0.421052632,2024,8,민간위탁사이버교육
"멘탈을 바꿔야 인생이 바뀐다, 쎈멘탈 집중훈련 - 중급반",멘탈관리,9,19,0.473684211,2022,12,민간위탁사이버교육
송이 쌤과 떠나는 여행일본어 -도쿄편-,말하기(회화),10,19,0.526315789,2023,8,민간위탁사이버교육
[시원스쿨] 진짜학습지 프랑스어 첫걸음 1,말하기(회화),4,19,0.210526316,2024,8,민간위탁사이버교육
2025 달라지는 노동환경!! 사례별 인사노무 실무,노무,3,19,0.157894737,2025,2,민간위탁사이버교육
사례를 통한 기획서 작성 실전 가이드 (With PPT),기획서,5,19,0.263157895,2022,11,민간위탁사이버교육
일타 전략가: 교육! 나도 키우고 회사도 키우는 최고의 전략,교육전략,8,19,0.421052632,2024,5,민간위탁사이버교육
2025 박문각 [공인중개사:2차] 부동산중개사법 및 중개실무 (기초이론),공인중개사,16,19,0.842105263,2025,1,민간위탁사이버교육
"전사원 필수 역량, 비즈니스 계약 실무",계약서,9,19,0.473684211,2024,12,민간위탁사이버교육
마음의 퍼즐 ? 업무환경에서의 심리학적 인사이트,경영자,10,19,0.526315789,2024,1,민간위탁사이버교육
"성공 기업의 1급 비밀, 갈등관리 역량과 혁신",갈등관리,9,19,0.473684211,2024,5,민간위탁사이버교육
국가공인 SQL개발자(SQLD)_1과목 데이터 모델링의 이해(윤소영),SQL개발자(SQLD),5,19,0.263157895,2025,2,민간위탁사이버교육
왕초보 챗GPT 사용법과 파이썬 코딩 기초,Python,4,19,0.210526316,2023,8,민간위탁사이버교육
최상위 실전 모의고사 JPT 450,JPT,6,19,0.315789474,2023,4,민간위탁사이버교육
최상위 실전 모의고사 JPT 800,JPT,6,19,0.315789474,2023,4,민간위탁사이버교육
최상위 실전 모의고사 JPT 600,JPT,5,19,0.263157895,2023,4,민간위탁사이버교육
[25년 업데이트] 20일 완성 新JLPT 상상 N3(독해),JLPT,8,19,0.421052632,2024,6,민간위탁사이버교육
한번에 합격! 실전모의고사 JLPT N3,JLPT,5,19,0.263157895,2023,4,민간위탁사이버교육
성공하는 기업의 IT프로젝트 관리,IT트렌드,9,19,0.473684211,2024,10,민간위탁사이버교육
OMG(Oh! My G-telp)-Final 실전 3,G-telp,8,19,0.421052632,2023,7,민간위탁사이버교육
알고보면 쉬운 3D모델링을 활용한 메타버스 플랫폼 200% 활용하기,3D모델링,9,19,0.473684211,2022,2,민간위탁사이버교육
"행복한 어린이집 지킴이, 보육교사 필수 안전교육",-,9,19,0.473684211,2024,9,민간위탁사이버교육
"리더십 4.0 시대, 일잘러의 IT프로젝트 성과관리",-,9,19,0.473684211,2024,10,민간위탁사이버교육
보육 전문가로 거듭나는 완벽 가이드,-,9,19,0.473684211,2024,12,민간위탁사이버교육
완전정복! 놀이 속 영유아 프로그램,-,8,19,0.421052632,2024,7,민간위탁사이버교육
완전정복! 표준보육과정 속 영아놀이,-,8,19,0.421052632,2024,8,민간위탁사이버교육
슬기로운 보육교사의 어린이 안전 교육 지도법,-,8,19,0.421052632,2024,9,민간위탁사이버교육
완전정복! 누리과정과 함께하는 유아놀이,-,7,19,0.368421053,2024,8,민간위탁사이버교육
[HD]한셀 2022 (한컴오피스 2022) 제대로 배우기 (기초),한컴오피스,13,18,0.722222222,2022,11,민간위탁사이버교육
[HD]컴퓨터활용능력 1급 필기 - 3과목 데이터베이스 일반 (2024 개정),컴퓨터활용능력,9,18,0.5,2024,3,민간위탁사이버교육
[HD]컴퓨터활용능력 2급 필기 - 2과목 스프레드시트 일반(2024 개정),컴퓨터활용능력,9,18,0.5,2024,3,민간위탁사이버교육
[재무회계전문가] 기업회계 및 결산실무,재무회계,10,18,0.555555556,2024,10,민간위탁사이버교육
유튜브신쌤의 시크릿스킬 1 - 지금 당장 써먹는 YouTube 영상제작 ? 편집 스킬,유튜브,3,18,0.166666667,2024,5,민간위탁사이버교육
비하인드 클래식,예술,3,18,0.166666667,2023,9,민간위탁사이버교육
[입찰 길라잡이] 적격심사의이해,영업전략,5,18,0.277777778,2022,8,민간위탁사이버교육
사회생활을 빛내는 에니어그램 관계 코칭,에니어그램,10,18,0.555555556,2023,2,민간위탁사이버교육
"핫크리스탈 센세 사무실에서 자주 쓰는 비즈니스일본어 8주만에 끝내기 (회의,회식편)",어휘(문법),3,18,0.166666667,2022,7,민간위탁사이버교육
[일잘러의 엣지스펙] 업무의 주도권을 내게로 끌어오는 시간관리,시간관리,3,18,0.166666667,2023,9,민간위탁사이버교육
물류관리사_보관하역론(김대윤),물류관리사,10,18,0.555555556,2024,5,민간위탁사이버교육
어른을 위한 신박한 그리스 로마 신화 - 사랑과 전쟁편,문학,7,18,0.388888889,2024,6,민간위탁사이버교육
[시원스쿨] 진짜학습지 프랑스어 첫걸음 2,말하기(회화),5,18,0.277777778,2024,8,민간위탁사이버교육
[시원스쿨] 진짜학습지 프랑스어 첫걸음 3,말하기(회화),5,18,0.277777778,2024,8,민간위탁사이버교육
[시원스쿨] 진짜학습지 프랑스어 첫걸음 4,말하기(회화),4,18,0.222222222,2024,8,민간위탁사이버교육
[How2업스킬] 스마트 리더를 위한 데이터로 문제해결과 의사결정하기,데이터활용,9,18,0.5,2022,8,민간위탁사이버교육
디지털 시대의 사이버보안,기업정보,9,18,0.5,2022,4,민간위탁사이버교육
직장인을 위한 가장 현실적인 재테크,금융상식,4,18,0.222222222,2023,6,민간위탁사이버교육
[한겨레교육] 간결한 글쓰기의 힘,글쓰기,2,18,0.111111111,2022,1,민간위탁사이버교육
[21년 개정] 이지(EASY)경의 Toeic Speaking Level 6-7 목표 달성 STEP1,TOEIC Speaking,5,18,0.277777778,2022,1,민간위탁사이버교육
국가공인 SQL개발자(SQLD)_기출문제풀이(윤소영),SQL개발자(SQLD),7,18,0.388888889,2025,2,민간위탁사이버교육
[25년 업데이트] 20일 완성 新JLPT 상상 N3(청해),JLPT,9,18,0.5,2024,6,민간위탁사이버교육
답이 바로 풀리는 퀵 JLPT N5,JLPT,5,18,0.277777778,2023,9,민간위탁사이버교육
"[상위1% 프로그래밍] Hello, Java Programming",Java,8,18,0.444444444,2024,6,민간위탁사이버교육
비전공자도 가능한 자동화 수익 홈페이지 만들기2 - 창업방법편,창업일반,7,17,0.411764706,2023,12,민간위탁사이버교육
환경영향평가,직무,8,17,0.470588235,,,나라배움터
스피드 중국어,중국어,3,17,0.176470588,2022,12,민간위탁사이버교육
[온캠] 한번에 끝내는 임상심리사 2급 필기 1과목_심리학개론,임상심리사,7,17,0.411764706,2024,2,민간위탁사이버교육
유튜브신쌤의 시크릿스킬 2 - YouTube 채널 운영 ? 쇼츠 운영 및 수익화 방법,유튜브,2,17,0.117647059,2024,5,민간위탁사이버교육
[다시일] 다시 시작하는 일본어회화 초급 Step2,어휘(문법),5,17,0.294117647,2023,10,민간위탁사이버교육
"(여행일본어) 여기 어때, 일본 맛집멋집 핫플레이스 - 도쿄 외",어휘(문법),3,17,0.176470588,2024,1,민간위탁사이버교육
"(여행일본어) 여기 어때, 일본 맛집멋집 핫플레이스 - 훗카이도 & 도호쿠 외",어휘(문법),3,17,0.176470588,2024,1,민간위탁사이버교육
나를 알면 남이 보인다 MBTI 성격 검사의 이해,심리,3,17,0.176470588,2022,6,민간위탁사이버교육
기후변화대응,시책,9,17,0.529411765,,,나라배움터
[실전에서 써먹는 리더십] 리더는 질문이다,소통스킬,4,17,0.235294118,2023,5,민간위탁사이버교육
"[보고서의 품격(2)]비즈니스 문서(기획,제안,보고) 논리적 내용 전개 스킬",보고서,2,17,0.117647059,2024,3,민간위탁사이버교육
매일 3문장으로 떠나는 실전 여행 영어,말하기(회화),3,17,0.176470588,2022,10,민간위탁사이버교육
[다시중] 다시 시작하는 중국어회화 중급 Step1,말하기(회화),3,17,0.176470588,2023,10,민간위탁사이버교육
[다시중] 다시 시작하는 중국어회화 중급 Step2,말하기(회화),3,17,0.176470588,2023,10,민간위탁사이버교육
"민화, 복을 담아 그리는 우리 그림",그림그리기,15,17,0.882352941,2023,6,민간위탁사이버교육
[HD]No code(노코드)! AppSheet(앱시트)로 코딩없이 전문가 수준 앱 만들기 (중급 활용) Part.4 - 관계를 이용한 앱 만들기,AppSheet,8,17,0.470588235,2023,8,민간위탁사이버교육
칭따오 비즈니스 중국어 회화 Step 1, 비즈니스 ,6,17,0.352941176,2023,9,민간위탁사이버교육
[HD]한쇼 2022 (한컴오피스 2022) 제대로 배우기 (기초),한쇼,9,16,0.5625,2022,8,민간위탁사이버교육
"팀장의 셀프 진화 지침서, 요즘 팀장의 오답 노트",팀장,7,16,0.4375,2024,11,민간위탁사이버교육
[HD]컴퓨터활용능력 1급 실기 - 데이터베이스 실무 (2024 개정),컴퓨터활용능력,9,16,0.5625,2024,5,민간위탁사이버교육
[HD]컴퓨터활용능력 2급 실기 - 스프레드시트 실무 (2024 개정),컴퓨터활용능력,8,16,0.5,2024,3,민간위탁사이버교육
커피로 성공하는 창업 공식(Feat. 원두부터 내 카페까지),커피,15,16,0.9375,2023,10,민간위탁사이버교육
[인사총무전문가] 총무기획과 총무자산관리,총무,8,16,0.5,2024,2,민간위탁사이버교육
누구나 1시간 투자해서 월 100만원 절약하는 블로그 체험단,체험단,1,16,0.0625,2023,1,민간위탁사이버교육
교통안전관리,직무,8,16,0.5,,,나라배움터
대국민지진교육,직무,8,16,0.5,,,나라배움터
생활안전교육 교수능력향상,직무,8,16,0.5,,,나라배움터
알기 쉬운 법령 만들기를 위한 정비기준,직무,8,16,0.5,,,나라배움터
지방공무원 인사실무,직무,8,16,0.5,,,나라배움터
퀸수키와 함께하는 스마트 정리 교실 (실전편),정리,2,16,0.125,2022,3,민간위탁사이버교육
독공 전산세무2급(실기)(정혜숙),전산세무,7,16,0.4375,2024,7,민간위탁사이버교육
